id, name1663529,Департамент развития новых территорий города Москвы
58,"Департамент по делам гражданской обороны, чрезвычайным ситуациям и пожарной безопасности города Москвы"
48,Комитет государственных услуг города Москвы
25,Департамент культуры города Москвы
85530,Управа района Тропарево-Никулино города Москвы
541,Управа района Новогиреево города Москвы
537,Управа Тимирязевского района города Москвы
489,Управа района Коньково города Москвы
524,Управа района Левобережный города Москвы
478,Управа района Аэропорт города Москвы
458,Управа района Зябликово города Москвы
480,Управа района Чертаново Северное города Москвы
15,Префектура Северо-Восточного административного округа города Москвы
56,Управление по обеспечению деятельности мировых судей города Москвы
4090529,Управа Пресненского района города Москвы
468,Управа района Дорогомилово города Москвы
530,Управа района Восточный города Москвы
65,Управление делами Мэра и Правительства Москвы
68,"Государственная инспекция города Москвы по качеству сельскохозяйственной продукции, сырья и продовольствия"
535,Управа района Фили-Давыдково города Москвы
4153533,Управа Красносельского района города Москвы
470,Управа Нагорного района города Москвы
4123530,Управа Таганского района города Москвы
514,Управа Дмитровского района города Москвы
6416,Управа района Черемушки города Москвы
560,Управа района Старое Крюково города Москвы
553,Управа района Строгино города Москвы
511,Управа района Северный города Москвы
477,Управа района Кунцево города Москвы
521,Управа района Западное Дегунино города Москвы
481,Управа района Чертаново Центральное города Москвы
6278,Управа района Нагатино-Садовники города Москвы
13207,Управа района Бирюлево Восточное города Москвы
509,Управа района Свиблово города Москвы
6,Управление координации деятельности Комплекса городского хозяйства Москвы
488,Управа района Зюзино города Москвы
516,Управа района Южное Медведково города Москвы
766,Объединение Административно-Технических Инспекций города Москвы
528,Управа района Вешняки города Москвы
44,Префектура Юго-Западного административного округа города Москвы
2827530,Управа района Очаково-Матвеевское города Москвы
561,Управа района Крюково города Москвы
472,Управа района Крылатское города Москвы
448,Управа района Северное Бутово города Москвы
1153520,Управа района Раменки города Москвы
548,Управа Хорошевского района города Москвы
497,Управа района Ново-Переделкино города Москвы
452,Управа района Южное Бутово города Москвы
20,Департамент здравоохранения города Москвы
486,Управа района Беговой города Москвы
11,Префектура Южного административного округа города Москвы
471,Управа района Орехово-Борисово Северное города Москвы
465,Управа района Бибирево города Москвы
479,Управа района Лианозово города Москвы
31,Департамент труда и социальной защиты населения города Москвы
12,Префектура Северо-Западного административного округа города Москвы
41057401,Департамент предпринимательства и инновационного развития города Москвы
64,Государственная инспекция по контролю за использованием объектов недвижимости города Москвы
507,Управа Головинского района города Москвы
543,Управа района Ховрино города Москвы
475,Управа Бутырского района города Москвы
536,Управа района Ивановское города Москвы
719,Управление заместителя Мэра Москвы в Правительстве Москвы по вопросам региональной безопасности и информационной политики
462,Управа района Внуково города Москвы
5,Департамент внешнеэкономических и международных связей города Москвы
625,Управа Ломоносовского района города Москвы
4072529,Управа Басманного района города Москвы
454,Управа Даниловского района города Москвы
4144529,Управа Тверского района города Москвы
558,Управа района Савелки города Москвы
534,Управа района Гольяново города Москвы
4048529,Управа района Арбат города Москвы
460,Управа Алтуфьевского района города Москвы
441,Управа района Котловка города Москвы
557,Управа района Матушкино города Москвы
734,Департамент региональной безопасности и противодействия коррупции города Москвы
501,Управа Останкинского района города Москвы
1165614,Управа района Сокол города Москвы
3724544,Комитет общественных связей и молодежной политики города Москвы
45,Комитет ветеринарии города Москвы
60,Комитет государственного строительного надзора города Москвы
61,Комитет города Москвы по обеспечению реализации инвестиционных проектов в строительстве и контролю в области долевого строительства
503,Управа района Отрадное города Москвы
41057888,Комитет по туризму города Москвы
453,Управа района Братеево города Москвы
13859,Управление заместителя Мэра Москвы в Правительстве Москвы по вопросам экономической политики и имущественно-земельных отношений
2428529,Управа района Сокольники города Москвы
230,Комитет города Москвы по ценовой политике в строительстве и государственной экспертизе проектов
10186,Управа района Теплый Стан города Москвы
523,Управа района Солнцево города Москвы
559,Управа района Силино города Москвы
